Time Enter FOV|observatory|Time Exit FOV|Fades or Data Gap|CME Type|Brightness|PA (deg)|Angular Width (deg)|Time Onset|Not in Event List|Velocity (km/s)|Longitude S-E Line (deg)|Longitude Error (deg)|Time 1AU|Comment
2008-08-31T00:09:00Z|STEREO_A|2008-09-01T02:49:00Z|0|F|B3|103|75|2008-08-30T20:10:00Z|0|593|16|17|2008-09-02T18:55:00Z|Large CME preceded by fuse.
2008-08-31T05:30:00Z|STEREO_B|NaN|1|C|B3|258|85|2008-08-30T18:39:00Z|0|391|19|11|2008-09-04T05:56:00Z|Same event as above(?) in STEREO_B.
2008-09-08T05:30:00Z|STEREO_B|NaN|1|D|B1|255|20|NaN|1|NaN|NaN|NaN|NaN|Narrow CME south of equator
2008-09-13T00:49:00Z|STEREO_A|2008-09-15T23:29:00Z|0|D|B3|88|35|2008-09-13T04:51:00Z|0|331|3|9|2008-09-18T11:10:00Z|Bright CME with closed structure.
2008-10-04T17:29:00Z|STEREO_A|NaN|1|D|B1|70|30|NaN|1|NaN|NaN|NaN|NaN|Faint, narrow CME
2008-10-21T21:29:00Z|STEREO_B|NaN|1|D|B1|268|45|2008-10-21T05:54:00Z|0|281|2|11|2008-10-27T09:07:00Z|Faint CME with closed structure.
2008-10-27T06:09:00Z|STEREO_B|2008-10-28T20:09:00Z|0|D|B3|265|50|2008-10-26T23:53:00Z|0|353|40|18|2008-10-31T20:52:00Z|Bright CME with closed structure.
2008-11-02T10:49:00Z|STEREO_B|2008-11-04T10:09:00Z|0|D|B2|273|55|2008-11-02T01:02:00Z|0|281|10|7|2008-11-08T03:46:00Z|Small CME with closed structure.
2008-11-03T08:49:00Z|STEREO_B|2008-11-05T01:29:00Z|0|D|B3|273|75|2008-11-03T00:46:00Z|0|559|10|35|2008-11-06T02:31:00Z|Bright CME immediately follows last event. Same event as HI-B below.
2008-11-03T06:09:00Z|STEREO_A|NaN|1|B|B1|68|75|2008-11-03T00:28:00Z|0|358|35|15|2008-11-07T19:37:00Z|Weak loop-like CME.  See previous entry.
2008-11-08T06:09:00Z|STEREO_A|NaN|1|D|B1|93|45|NaN|1|NaN|NaN|NaN|NaN|Weak CME with closed structure
2008-11-25T03:29:00Z|STEREO_B|NaN|1|D|B3|268|65|2008-11-24T20:42:00Z|0|516|66|13|2008-11-28T04:11:00Z|Well defined CME with closed features.
2008-12-02T06:49:00Z|STEREO_A|NaN|1|D|B1|78|65|NaN|1|NaN|NaN|NaN|NaN|Weak CME with some closed structure
2008-12-12T14:09:00Z|STEREO_B|2008-12-13T18:09:00Z|0|B|B3|265|70|2008-12-12T07:29:00Z|0|417|13|7|2008-12-16T09:35:00Z|Bright loop-like CME. Same event as HI-A below.
2008-12-12T14:49:00Z|STEREO_A|NaN|1|B|B3|78|85|2008-12-12T08:50:00Z|0|411|15|13|2008-12-16T12:23:00Z|Bright loop-like CME. See previous entry.
2008-12-16T18:49:00Z|STEREO_A|2008-12-18T00:49:00Z|0|B|B2|100|80|NaN|1|NaN|NaN|NaN|NaN|Loop-like CME south of equator
2008-12-27T10:09:00Z|STEREO_A|NaN|1|B|B3|73|45|2008-12-27T05:58:00Z|0|424|12|17|2008-12-31T06:21:00Z|Bright loop-like CME.
