WIND__SWE,CDAWEB,crdp,SWE,Wind,CDAWEB,ack_CDAWEB,1,,WIND__SWE,WIND,SWE,Solar Wind Experiment,Wind,SWE,in-situ
WIND__WAVES,CDAWEB,crdp,WAV,Wind,CDAWEB,ack_CDAWEB,1,,WIND__WAV,WIND,WAV,Radio/Plasma Wave,Wind,WAVES,in-situ

KANZ__HALPH,UOC,uoc,KANZELHOE,GHAN_CAT,KSO,ack_KSO,1,,,,,,,,remote
OACT__HALPH,UOC,uoc,CATANIA,GHAN_CAT,INAF-OACT,ack_INAF,1,,,,,,,,remote
CASSINI__MAG,UOC,uoc,CASSINI__MAG,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ
MESSENGER__EPPS,UOC,uoc,MESSENGER__EPPS,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ
MESSENGER__FIPS,UOC,uoc,MESSENGER__FIPS,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ
MESSENGER__MAG,UOC,uoc,MESSENGER__MAG,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ
MESSENGER__XRS,UOC,uoc,MESSENGER__XRS,PLANETARY_CAT,PDS-GEO,ack_PDS-GEO,,,,,,,,,in-situ
MEX__ELS,UOC,uoc,MEX__ELS,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ
MGS__ER,UOC,uoc,MGS__ER,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ
MGS__MAG,UOC,uoc,MGS__MAG,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ
NEAR__MAG,UOC,uoc,NEAR__MAG,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ
VEX__ELS,UOC,uoc,VEX__ELS,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ

VEX__MAG,UOC,uoc,VEX__MAG,PLANETARY_CAT,PDS-PPI,ack_PDS-PPI,1,,,,,,,,in-situ
BLEN__PHOENIX_2,DIR,http,PHOENIX_2,,FHNW,ack_FHNW,1,,BLEIEN__PHOENIX_2,,,,,,remote
RHESSI__HESSI_GMR,DIR,http,HESSI_GMR,,FHNW,ack_FHNW,3,,,,,,,,remote
RHESSI__HESSI_HXR,DIR,http,HESSI_HXR,,FHNW,ack_FHNW,3,,,,,,,,remote
RHESSI__HESSI_GMR,DIR,http,HESSI_GMR,,LSSP,ack_NASA-LSSP,2,,,,,,,,remote
RHESSI__HESSI_HXR,DIR,http,HESSI_HXR,,LSSP,ack_NASA-LSSP,2,,,,,,,,remote
GOES__XRS,DIR,http,GOES__XRS,,LSSP,ack_NASA-LSSP,1,,,,,,,,remote
HINODE__EIS,DIR,http,EIS,,HSDCE,ack_HSDCE,2,,,,,,,,remote
HINODE__SOT_FG,DIR,http,FGIV,,HSDCE,ack_HSDCE,2,,,,,,,,remote
HINODE__SOT_SP,DIR,http,SP4D,,HSDCE,ack_HSDCE,2,,,,,,,,remote
HINODE__XRT,DIR,http,XRT,,HSDCE,ack_HSDCE,2,,,,,,,,remote

PROBA2__SWAP,DIR,http,SWAP,,PROBA2-SC,ack_PROBA2-SC,1,,,,,,,,remote
PROBA2__LYRA,DIR,http,LYRA,,PROBA2-SC,ack_PROBA2-SC,1,,,,,,,,remote

NOBE__RHELIO,DIR,ftp,NORH,,NAOJ-NRO,ack_NAOJ,1,,,,,,,,remote
MEUD__SHELIO,DIR,ftp,MEUD__SHELIO ,MEUD,BASS2000,ack BASS2K,1,,,,,,,,remote
MEUD__HELIO,DIR,ftp,MEUD__HELIO,MEUD,BASS2000,ack BASS2K,1,,,,,,,,remote
PDMO__CLIMSO,DIR,ftp,PDMO__CLIMSO,MEUD,BASS2000,ack BASS2K,1,,,,,,,,remote
PDMO__COGHA,DIR,ftp,PDMO__COGHA,MEUD,BASS2000,ack BASS2K,1,,,,,,,,remote
